상태,공고번호,등록번호
종료(반환),서울-용산-2024-00203,410097800069711
종료(반환),서울-강동-2024-00160,410100012862709
종료(반환),서울-서대문-2024-00095,
종료(반환),서울-동대문-2024-00234,
종료(반환),서울-동대문-2024-00235,
종료(반환),서울-용산-2024-00204,
종료(반환),서울-금천-2024-00134,410160010408860
종료(반환),서울-관악-2024-00189,
종료(반환),서울-양천-2024-00130,
종료(반환),서울-중구-2024-00047,
종료(반환),서울-구로-2024-00155,
종료(반환),서울-용산-2024-00202,
종료(반환),서울-용산-2024-00201,410160011861625
종료(반환),서울-종로-2024-00166,
종료(반환),서울-강동-2024-00158,410097800128758
종료(반환),서울-강동-2024-00157,410100012862701
종료(반환),서울-강북-2024-00183,410097800547351
종료(반환),서울-성북-2024-00181,
종료(반환),서울-용산-2024-00198,410093300033263
종료(반환),서울-동작-2024-00143,410100012752661
종료(반환),서울-용산-2024-00197,
종료(반환),서울-강동-2024-00156,410097800234685
종료(반환),서울-서대문-2025-00007,410097800565256
종료(반환),서울-영등포-2024-00076,
종료(반환),서울-금천-2024-00122,
종료(반환),서울-성북-2024-00179,
종료(반환),서울-동대문-2024-00227,
종료(반환),서울-동대문-2024-00226,
종료(반환),서울-중랑-2024-00135,410160010947767
종료(반환),서울-중랑-2024-00134,410160011867885
종료(반환),서울-구로-2024-00146,
종료(반환),서울-성북-2024-00178,
종료(반환),서울-성북-2024-00177,410100008146899
종료(반환),서울-용산-2024-00194,
종료(반환),서울-서대문-2024-00090,
종료(반환),서울-중랑-2024-00133,
종료(반환),서울-종로-2024-00154,
종료(반환),서울-양천-2024-00126,410160010482552
종료(반환),서울-양천-2024-00124,410160010961826
종료(반환),서울-도봉-2024-00114,
종료(반환),서울-중랑-2024-00132,
종료(반환),서울-강동-2024-00153,410097800385070
종료(반환),서울-용산-2024-00192,
종료(반환),서울-성북-2024-00174,410100013057273
종료(반환),서울-중구-2024-00045,410093300028609
종료(반환),서울-동대문-2024-00215,
종료(반환),서울-서대문-2024-00089,410100012279885
종료(반환),서울-강서-2024-00170,
종료(반환),서울-서초-2024-00096,410100012660849
종료(반환),서울-양천-2024-00121,410100012756505
종료(반환),서울-도봉-2024-00112,410100011201508
종료(반환),서울-강동-2024-00154,
종료(반환),서울-구로-2024-00143,
종료(반환),서울-금천-2024-00119,
종료(반환),서울-서대문-2024-00088,410097800457598
종료(반환),서울-영등포-2024-00074,410097700020278
종료(반환),서울-금천-2024-00118,
종료(반환),서울-양천-2024-00122,
종료(반환),서울-용산-2024-00187,
종료(반환),서울-강동-2024-00151,410097800234685
종료(반환),서울-양천-2024-00117,410100008245408
종료(반환),서울-영등포-2024-00073,
종료(반환),서울-구로-2024-00139,
종료(반환),서울-노원-2024-00136,
종료(반환),서울-동대문-2024-00214,
종료(반환),서울-강동-2024-00146,
종료(반환),서울-마포-2024-00219,
종료(반환),서울-서대문-2024-00087,
종료(반환),서울-송파-2024-00141,
종료(반환),서울-구로-2024-00138,
종료(반환),서울-마포-2024-00218,
종료(반환),서울-성북-2024-00170,
종료(반환),서울-성동-2024-00079,
종료(반환),서울-성동-2024-00078,
종료(반환),서울-관악-2024-00181,
종료(반환),서울-금천-2024-00116,
종료(반환),서울-양천-2024-00116,
종료(반환),서울-금천-2024-00115,
종료(반환),서울-마포-2024-00213,
종료(반환),서울-서대문-2025-00006,410100012323574
종료(반환),서울-송파-2024-00139,
종료(반환),서울-강남-2024-00051,900111881002894
종료(반환),서울-강서-2024-00165,
종료(반환),서울-성북-2024-00158,
종료(반환),서울-영등포-2024-00071,
종료(반환),서울-구로-2024-00135,
종료(반환),서울-마포-2024-00212,410097800257493
종료(반환),서울-구로-2024-00134,
종료(반환),서울-도봉-2024-00109,410160011874319
종료(반환),서울-중랑-2024-00124,
종료(반환),서울-강남-2024-00048,
종료(반환),서울-마포-2024-00210,
종료(반환),서울-강북-2024-00156,
종료(반환),서울-성북-2024-00152,
종료(반환),서울-도봉-2024-00108,410093300022956
종료(반환),서울-마포-2024-00209,410100013071353
종료(반환),서울-강남-2024-00049,
종료(반환),서울-마포-2024-00208,
종료(반환),서울-구로-2024-00130,
종료(반환),서울-강북-2024-00155,
종료(반환),서울-강북-2024-00153,
종료(반환),서울-강남-2024-00047,
종료(반환),서울-강서-2024-00156,
종료(반환),서울-도봉-2024-00107,
종료(반환),서울-성북-2024-00149,410160010421080
종료(반환),서울-구로-2024-00127,410097800311981
종료(반환),서울-마포-2024-00205,410160010975405
종료(반환),서울-은평-2024-00164,
종료(반환),서울-송파-2024-00134,
종료(반환),서울-관악-2024-00176,
종료(반환),서울-영등포-2024-00070,410100009975989
종료(반환),서울-서대문-2024-00085,410100008061076
종료(반환),서울-관악-2024-00175,
종료(반환),서울-양천-2024-00104,
종료(반환),서울-노원-2024-00130,
종료(반환),서울-노원-2024-00129,
종료(반환),서울-서대문-2024-00084,
종료(반환),서울-양천-2024-00103,
종료(반환),서울-마포-2024-00202,
종료(반환),서울-강남-2024-00045,
종료(반환),서울-관악-2024-00174,410100012294252
종료(반환),서울-서대문-2024-00083,
종료(반환),서울-성북-2024-00138,
종료(반환),서울-영등포-2024-00069,
종료(반환),서울-강서-2024-00154,
종료(반환),서울-동작-2024-00118,410160010478937
